11	6	5	6.28	37.1	53.64	46.65
11	5	6	10.41	41.7	53.37	71.03
10	5	5	10.47	45.4	53.47	74.37
11	6	5	15.4	42.6	51.96	58.27
11	5	6	9.86	46.7	53.73	66.8
10	5	5	12.21	46.3	52.93	67.69
11	6	5	8.91	38.9	53.02	66.25
12	6	6	11.11	40.4	52.67	63.84
10	5	5	7.61	49.7	58.03	55.03
11	6	5	13.17	45	52.98	62.17
10	5	5	9.44	46.9	54.06	88.96
10	5	5	13.78	46.5	53.52	67.47
12	7	5	15.21	50.2	52.66	85.4
9	5	4	9.03	42.5	52.61	51.56
10	5	5	10.81	49.2	56.18	53.87
11	6	5	10.62	46.9	55.78	63.83
11	5	6	9.93	43.6	54.77	64.7
12	6	6	11.11	47.5	56.06	92.46
11	5	6	10.17	48.4	56.1	58.47
9	5	4	13.44	49.2	52.24	65.28
12	7	5	14	50.2	52.6	68.74
11	6	5	16.47	48.2	53.05	66.45
9	5	4	8.35	46	55.83	72.1
11	5	6	9.24	43.4	53.06	86.52
12	6	6	10.36	52.5	55.76	62.03
11	6	5	10.71	46.1	54.06	75.54
9	4	5	10.75	48.3	53.64	58.4
10	4	6	13.49	41.9	52.56	53.6
11	6	5	14.55	49.2	53.43	50.52
10	5	5	18.49	48.8	49.78	61.54
12	6	6	17.9	45.2	51	57.63
10	5	5	10.24	40.8	53.9	68.86
10	5	5	7.79	42.3	55.63	60.51
12	6	6	9.83	44.6	53.81	53.71
11	5	6	9.45	43.5	53.9	72.21
12	6	6	9.77	51.2	55.44	55.44
10	5	5	11.42	44.1	51.14	63.81
10	5	5	12.69	45.7	53.96	73.58
13	7	6	9.32	43.8	53.27	49.31
10	5	5	8.63	39.4	52.34	54.41
9	4	5	13.04	44.8	53.14	55.14
9	5	4	9.27	46.7	53.76	62.84
10	5	5	10.9	39.7	52.18	61.39
10	5	5	10.98	38.9	52.21	74.77
10	5	5	11.65	47.8	54.35	75.01
11	6	5	7.25	40.7	53.63	61.89
11	6	5	8.78	44.8	54.86	78.91
10	5	5	7.81	44	55.26	66.4
10	5	5	8.55	44.3	55.33	70.96
12	6	6	11.04	45.8	53.51	78.78
12	6	6	11.23	46.6	53.78	51.12
11	6	5	9.56	39.2	53	81.05
11	6	5	8.92	47.4	55.82	59.56
10	5	5	11.83	44.6	53.63	58.31
10	5	5	6.59	40.8	54.51	54.44
12	6	6	9.79	46.4	57.44	68.98
11	5	6	12.69	48.2	54.71	62.28
12	6	6	10.55	49.2	55.86	61.82
10	5	5	11.45	44.7	52.78	47
14	6	8	9.88	48.8	55.67	66.97
12	6	6	11.01	44	52.43	71.31
12	6	6	10.56	42	53.07	80.25
9	5	4	9.4	43.2	52.31	52.25
10	5	5	8.83	46.4	53.79	65.64
13	6	7	6.19	38.3	51.99	46.5
12	5	7	11.26	44.2	52.35	76.74
11	5	6	10.16	43.9	54.78	71.03
10	5	5	11.34	42.2	53.48	43.13
10	5	5	18.55	40.3	47.22	53.04
12	6	6	11.72	42.6	55.35	62.8
11	5	6	12.67	48.9	52.44	52.91
12	6	6	12.42	41.2	51.61	57.47
10	5	5	6.98	43.4	55.05	69.16
9	5	4	11.08	40.6	51.91	47.53
11	6	5	8.75	49	54.81	53.84
10	5	5	9.4	45.7	57.59	55.68
11	6	5	9.08	41	52.68	68.31
10	5	5	13.38	45.5	53.37	71.55
10	4	6	11.39	39	50.75	68.96
10	5	5	6.82	48.5	55.68	80.27
12	6	6	9.92	47	53.59	60.92
9	4	5	8.71	44.8	55.22	69.8
11	5	6	12.6	48.6	52.64	50.5
11	6	5	9.43	48	54.79	50.7
10	5	5	14.55	50.2	52.32	62.21
12	6	6	8.69	46.1	57.41	60.84
11	5	6	13.55	40.9	50.75	57.94
9	4	5	11.6	51.4	54	60.47
11	5	6	9.7	46.5	54.28	54.06
10	5	5	13.18	41.8	53.62	71.84
11	6	5	11.77	43.1	52.84	69.19
10	4	6	13.35	47.6	53.25	75.24
10	5	5	9.17	44.3	54.54	61.75
12	6	6	9.74	40.6	54.45	70.09
9	5	4	8.62	45.9	56.95	42.52
10	5	5	11.77	41.6	52.68	78.46
9	5	4	12.07	47.1	52.46	47.49
10	5	5	10.69	46	54.66	64.03
10	5	5	11.94	50.3	54.8	60.33
9	4	5	13.91	38.7	51.36	62.77
10	5	5	10.7	44.3	54.12	50.79
10	5	5	10.88	48.3	55.09	55.03
12	6	6	11.01	47.6	53.73	63.84
12	6	6	12.36	47.1	53.34	80.48
9	4	5	15.63	44.3	51.27	55.77
12	7	5	12.88	51.9	55.06	62.3
11	6	5	13.2	45.5	51.55	61.24
11	5	6	8.28	42.6	53.9	56.08
10	5	5	9.3	52.2	56.06	60.02
11	5	6	10.69	48.5	52.87	70.04
10	5	5	10.39	45	52.96	59.27
10	5	5	12.53	48.8	55.07	48.63
11	5	6	8.68	42.8	55.72	65.99
11	5	6	11.9	39.5	51.86	51.1
12	6	6	13.44	46	53.64	65.98
10	5	5	10.84	42.7	52.41	70.98
10	5	5	12.37	43.5	51.97	63.75
10	5	5	10.26	44.6	54.08	68.52
10	5	5	13.9	47.6	52.72	51.31
11	6	5	9.7	46	54.67	50.38
11	6	5	6.39	40.5	55.64	43.36
12	6	6	12.44	46.2	52.15	50.41
12	6	6	14.21	47	53.24	65.85
11	6	5	9.15	46.2	54.51	51.76
12	6	6	13.1	43.2	51.42	64.18
12	6	6	8.7	43.4	54.12	69.27
12	6	6	11.64	49.2	53.71	64.63
10	5	5	9.33	46.2	55.55	54.44
10	5	5	11.32	45.1	53.94	53.03
10	5	5	9.19	51.3	55.84	51.16
9	5	4	12.44	43.7	52.74	63.96
10	5	5	9.25	48.8	56.84	62.15
10	5	5	8.72	49.3	56.64	73.15
10	5	5	10.85	45.4	53.74	61.38
10	5	5	10.45	46.9	56.45	74.14
12	6	6	11.25	43.3	52.84	62.27
10	5	5	13.84	49.5	53.21	59.84
9	5	4	9.29	45.6	54.97	51.94
12	6	6	9.07	42.7	53.82	51.49
12	6	6	10.35	45.9	53.62	62.34
11	5	6	9.73	47	54.81	64.51
9	4	5	11.81	49.2	54.65	56.34
11	6	5	11.99	51.8	55.56	72.99
10	5	5	6.39	37.1	52.66	64.33
10	5	5	10.07	42.3	52.78	69.53
11	5	6	13.94	49.4	53.98	59.44
10	5	5	10.28	47.3	55.15	65.13
12	6	6	9.94	45.4	53.14	54.96
10	5	5	9.1	48	54.35	63.26
10	5	5	15.31	42.3	51.35	60.28
11	5	6	10.43	44	54.76	75.75
12	7	5	12.39	50.8	54.29	61.78
10	5	5	10.39	49.7	54.76	52.99
11	6	5	7.74	36.7	52.89	59.94
13	7	6	8.67	40	54.81	42.02
11	5	6	11.75	39.6	51.96	67.07
11	6	5	9.32	41.3	55.46	64.39
11	5	6	11.35	41	50.54	67.46
10	5	5	13.24	42.9	52.46	73.78
11	5	6	11.11	40.7	52.11	67.6
10	5	5	7.99	46.6	55.8	71.17
12	6	6	10.26	48.8	54.4	42.49
12	6	6	7.22	45	55.01	60.95
12	6	6	10.84	45.1	52.56	71.14
10	5	5	13.7	51.6	55.43	56.99
10	5	5	9.72	44	53.66	68.21
12	6	6	9.86	45	55.35	61.54
12	6	6	9.57	41.7	53.42	46.13
10	5	5	12.75	48.8	54.32	63.95
11	6	5	14.07	47.8	53.25	59.14
10	5	5	8.69	48.6	54.38	48.76
10	5	5	14.94	41.2	50.66	60.24
10	5	5	8.85	45.7	54.6	62.48
10	5	5	12.39	50.6	54.24	51
10	5	5	14.84	51.2	55.08	74.13
10	5	5	11.02	43.2	53.78	62.88
12	6	6	9.24	40.5	53.86	49.91
12	6	6	9.83	44.7	54.31	68.44
10	4	6	8.2	53.2	58.43	58.83
10	5	5	11.37	35.3	51.04	51.75
10	5	5	9.94	43.3	53.66	51.76
8	4	4	12.06	47.6	52.64	52.34
12	6	6	12.57	46.9	53.13	68.91
10	5	5	11.56	38	52.68	81.13
11	6	5	12.09	42.5	52.23	56.53
9	5	4	12.26	42.7	52.8	66.05
10	5	5	10.84	45.5	53.63	82.84
13	6	7	9.64	45.5	52.2	62.78
10	5	5	10.34	49.1	53.7	60.4
11	6	5	14.86	51.8	52.54	56.59
10	5	5	12.18	45.6	53.13	65.23
10	5	5	11.3	45.9	54.73	65.11
10	4	6	9.45	46	53.26	74.22
10	5	5	8.79	46.9	54.81	63.43
13	6	7	9.49	39.3	54.86	78.94
10	5	5	15.19	52.5	53.23	54.5
10	5	5	9.46	44.7	56.61	60.64
10	5	5	6.59	42.3	53.37	44.48
11	6	5	9.6	48.6	54.53	67.67
14	7	7	8.93	42.5	52.8	57.13
10	5	5	12.52	41.9	53.17	84.3
12	6	6	10.32	43.2	53.21	55.41
11	5	6	11.6	42.9	54.44	49.93
10	5	5	11.97	48.2	53.65	52.8
11	5	6	10.24	50.2	56.18	52.21
10	5	5	8.35	46.4	56.73	53.91
12	6	6	11.9	43.4	54.36	73.56
10	5	5	11.99	36.3	51.62	56.16
10	5	5	11.16	43	51.95	60.75
13	6	7	11.41	51.3	55.26	59.97
11	5	6	7.54	37.4	52.25	67.61
10	5	5	9.42	43.9	55.34	52.71
11	5	6	10.35	52.1	57.02	60.78
12	6	6	12.13	46.2	54.03	63.57
11	6	5	11.79	46.5	54.72	70.12
10	5	5	8.76	40.5	56.07	63.5
11	5	6	9.41	49.1	55.57	68.63
9	4	5	10.7	45.3	53.83	51.43
11	5	6	9.25	46.9	55.34	63.16
10	5	5	11.21	46.9	53.04	63.99
10	5	5	13.04	51.3	54	76.98
10	5	5	12.63	53.9	55.87	62.97
10	5	5	11.62	42.5	52.98	76.82
12	6	6	9.78	42.7	54.09	60.53
11	6	5	8.59	45.7	54.92	66.86
10	5	5	9.78	52.1	55.54	59.07
11	5	6	10.49	59.1	57.5	60.17
